Oblast,Rayon,Gorad,Rayongorad,oblastslug,rayonslug
Донецкая область,Мариуполь город,Мариуполь,Орджоникидзевский район,doneckaya-oblast,mariupol-gorod
Днепропетровская область,Днепр город,Чечеловский район,"",dnepropetrovskaya-oblast,dnepr-gorod
Харьковская область,Харьков город,Холодногорский район,"",kharkovskaya-oblast,kharkov-gorod
Черновицкая область,Черновцы город,Первомайский район,"",chernovickaya-oblast,chernovcy-gorod
Черниговская область,Чернигов город,Деснянский район,"",chernigovskaya-oblast,chernigov-gorod
Сумская область,Сумы город,Верхнее Песчаное,"",sumskaya-oblast,sumy-gorod
Тернопольская область,Тернополь город,"","",ternopolskaya-oblast,ternopol-gorod
Херсонская область,Нова Каховка город,Днепряны,"",khersonskaya-oblast,nova-kakhovka-gorod
Херсонская область,Херсон город,Антоновка,"",khersonskaya-oblast,kherson-gorod
Хмельницкая область,Нетишин город,"","",khmelnickaya-oblast,netishin-gorod
Хмельницкая область,Хмельницкий город,"","",khmelnickaya-oblast,khmelnickii-gorod
Черкасская область,Черкассы город,Приднепровский район,"",cherkasskaya-oblast,cherkassy-gorod
Винницкая область,Винница город,"","",vinnickaya-oblast,vinnica-gorod
Волынская область,Луцк город,"","",volynskaya-oblast,luck-gorod
Волынская область,Нововолынск город,Жовтневое,"",volynskaya-oblast,novovolynsk-gorod
Днепропетровская область,Вольногорск город,"","",dnepropetrovskaya-oblast,volnogorsk-gorod
Днепропетровская область,Днепродзержинск город,Днепродзержинск,Баглейский район,dnepropetrovskaya-oblast,dneprodzerzhinsk-gorod
Днепропетровская область,Желтые Воды город,Желтые Воды,"",dnepropetrovskaya-oblast,zheltye-vody-gorod
Днепропетровская область,Кривой Рог город,Авангард,"",dnepropetrovskaya-oblast,krivoi-rog-gorod
Днепропетровская область,Марганец город,Максимовка,"",dnepropetrovskaya-oblast,marganec-gorod
Днепропетровская область,Орджоникидзе город,Горницкое,"",dnepropetrovskaya-oblast,ordzhonikidze-gorod
Днепропетровская область,Першотравенск город,"","",dnepropetrovskaya-oblast,pershotravensk-gorod
Днепропетровская область,Терновка город,"","",dnepropetrovskaya-oblast,ternovka-gorod
Донецкая область,Горловка город,Гольмовский,"",doneckaya-oblast,gorlovka-gorod
Донецкая область,Дебальцево город,Дебальцево,"",doneckaya-oblast,debalcevo-gorod
Донецкая область,Дзержинск город,Артемово,"",doneckaya-oblast,dzerzhinsk-gorod
Донецкая область,Донецк город,Бирюки,"",doneckaya-oblast,doneck-gorod
Донецкая область,Дружковка город,Алексеево-Дружковка,"",doneckaya-oblast,druzhkovka-gorod
Донецкая область,Енакиево город,Александровское,"",doneckaya-oblast,enakievo-gorod
